position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,39339,0.0,0.22298722494701034,0.21177800856545756,0.20373575360400398,0.2656628241293467,0.32480942860442436
6-15,9816,0.0,0.23435383068168514,0.222142534259248,0.2161049302133168,0.3648457815873465,0.3007734540159389
16-40,2852,0.0,0.2207332184071314,0.20052342133118375,0.19967083984750936,0.4537162738108989,0.23978834317347794
41+,220,0.0,0.13317062163159232,0.11975763498751991,0.13892993291590452,0.3953854414556521,0.12778357861530076
