predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,52227,52227,0.0,0.22461770402165204,0.6670014845084736,0.22461770402165204,0.0,0.0,0.0,0.0,0.0
dept,52227,52227,0.0,0.21271487220904636,0.7195563497854784,0.22461770402165204,0.01190283181260568,0.00692415203989783,0.017512543197816997,0.052991512242767436,0.0
course,52227,52227,0.0,0.2055626265951112,0.7416892371176794,0.22461770402165204,0.019055077426540834,0.011946168821198273,0.027381119894913368,0.08483337281688186,0.0
site,52227,52227,0.0,0.2952454432435065,0.569485991091922,0.22461770402165204,-0.07062773922185445,-0.09232658106178245,-0.05351454458729769,-0.31443531813078396,0.3639
cox,52227,52227,0.0,0.3147580882083606,0.7326476172960041,0.22461770402165204,-0.09014038418670856,-0.10113880595123345,-0.07934834010920573,-0.4013057856651383,0.0303
