position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,39339,0.0,0.2998463449415203,0.313636491371076,0.31701627195824333,0.27969098304692147,0.5914751137771511
6-15,9816,0.0,0.33456290518914267,0.3391439569698633,0.3418318380880929,0.2913159980419018,0.450420001149823
16-40,2852,0.0,0.29473986581439016,0.2974458010451904,0.309057603091796,0.2916565806988876,0.3266163460152442
41+,220,0.0,0.15378871573687866,0.14952854695389756,0.1632763567966165,0.1752500744391693,0.160603106188349
