predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,52227,52227,0.0,0.30547456433894954,0.658023888322613,0.30547456433894954,0.0,0.0,0.0,0.0,0.0
dept,52227,52227,0.0,0.31684323881120946,0.6658117810995188,0.30547456433894954,-0.011368674472259921,-0.020092594712963305,-0.004783066209278979,-0.037216435669077175,0.0
course,52227,52227,0.0,0.3205904329866678,0.6528450476537949,0.30547456433894954,-0.015115868647718245,-0.02554542437762063,-0.002043839608102106,-0.0494832317068008,0.0
site,52227,52227,0.0,0.2820901643136785,0.6057997365406248,0.30547456433894954,0.023384400025271035,0.005938994294279263,0.03989576718138017,0.07655105450719002,0.0983
cox,52227,52227,0.0,0.5484885656078557,0.6912610468712601,0.30547456433894954,-0.2430140012689062,-0.2537498460739866,-0.23215321829594499,-0.7955294143549767,0.0303
