phase,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
before,4375,0.0,0.42760994719144835,0.4116744783343477,0.36269093505667893,0.3506537142857143,0.5827467249560873
between,9405,0.0,0.3779846665307143,0.3742268120751928,0.3817372779226706,0.44925134502923975,0.2642598582520551
instruction,34928,0.0,0.1925375909123065,0.1807592182657928,0.17426522174587217,0.24282171896472748,0.17588466323831348
phase1,105812,0.0,0.26929123894327556,0.265891434647043,0.26193828925173684,0.3127176208747591,0.3102529992470577
phase2,28815,0.0,0.23833139284899502,0.23599083072271057,0.2357335441440099,0.2846582543813985,0.21880037015464712
