position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,125311,0.0,0.2592925964147523,0.2508128221704233,0.23751244222007353,0.259708696762455,0.27298892437562516
6-15,40047,0.0,0.28095072537495597,0.2767569786215127,0.28622160176027417,0.37462150473194,0.28798918385317135
16-40,15614,0.0,0.22497759183883806,0.24230239350064664,0.2702238290697316,0.4530070769821955,0.2627409723123933
41+,2363,0.0,0.10842470405719973,0.11536834618817869,0.13885355135920896,0.3860448582310622,0.1977773756155179
