predictor,decile,n,weight,predicted,observed
bucket,0,45834.0,45834.0,0.5271833731027104,0.3092464109612951
bucket,1,45834.0,45834.0,0.6641435321815418,0.5282104987563817
bucket,2,45833.0,45833.0,0.6899788716874048,0.5778587480636223
bucket,3,45834.0,45834.0,0.6899788716874048,0.5519046995680063
dept,0,18334.0,18334.0,0.3292220811612028,0.18075706337951347
dept,1,18333.0,18333.0,0.4864420229935612,0.3597338133420608
dept,2,18334.0,18334.0,0.5807705064217914,0.4220028362604996
dept,3,18333.0,18333.0,0.6233153143660487,0.43964435717013034
dept,4,18334.0,18334.0,0.6674455372943475,0.4768190247627359
dept,5,18333.0,18333.0,0.6842919243790102,0.6000109092892598
dept,6,18333.0,18333.0,0.6894669580263334,0.5312823869524901
dept,7,18334.0,18334.0,0.7345007168718851,0.615413984946002
dept,8,18333.0,18333.0,0.7849267496412219,0.5859924725904108
dept,9,18334.0,18334.0,0.8769641326272872,0.7063924948183702
course,0,18334.0,18334.0,0.200290438938645,0.19455656157957893
course,1,18333.0,18333.0,0.41131811794153383,0.2854415534827906
course,2,18334.0,18334.0,0.5384827739586523,0.38000436347769173
course,3,18333.0,18333.0,0.6105364649920568,0.43566246659030167
course,4,18334.0,18334.0,0.6673453774307215,0.4796007417912076
course,5,18333.0,18333.0,0.6845858685838748,0.5136093383516064
course,6,18333.0,18333.0,0.729393031896129,0.5583919707631048
course,7,18334.0,18334.0,0.8039329412766393,0.6129049852732628
course,8,18333.0,18333.0,0.8937443781394374,0.6677575955926471
course,9,18334.0,18334.0,0.9792088424145938,0.7901167230282535
site,0,18334.0,18334.0,0.06719264754008945,0.3560597796443766
site,1,18333.0,18333.0,0.3647433589701631,0.3477881416025746
site,2,18334.0,18334.0,0.6181460674157303,0.4374931820661067
site,3,18333.0,18333.0,0.71,0.5569192167130311
site,4,18334.0,18334.0,0.71,0.5789244027489909
site,5,18333.0,18333.0,0.712622047673594,0.43909889270714014
site,6,18333.0,18333.0,0.769943817160312,0.35787923416789397
site,7,18334.0,18334.0,0.8139091305770699,0.4908912403185339
site,8,18333.0,18333.0,0.9278061419298533,0.6798123602247313
site,9,18334.0,18334.0,0.9940880331624304,0.6731755208901494
cox,0,18334.0,18334.0,0.33971085183940936,0.20535616886658667
cox,1,18333.0,18333.0,0.5095119401525409,0.300169093983527
cox,2,18334.0,18334.0,0.6103121885782277,0.3332060652339915
cox,3,18333.0,18333.0,0.6831167452965649,0.2752959144711722
cox,4,18334.0,18334.0,0.7311222436240812,0.45129268026617214
cox,5,18333.0,18333.0,0.7942657073104307,0.51284568810342
cox,6,18333.0,18333.0,0.8506781431520478,0.6112474772268587
cox,7,18334.0,18334.0,0.9011572264404285,0.7168102978073525
cox,8,18333.0,18333.0,0.9487694407231335,0.7292314405716468
cox,9,18334.0,18334.0,0.9823048673494627,0.782589724010036
