predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,183335,183335,0.0,0.25915649463047785,0.6159046639721326,0.25915649463047785,0.0,0.0,0.0,0.0,0.0
dept,183335,183335,0.0,0.2540094213107993,0.6568437825347816,0.25915649463047785,0.005147073319678563,0.0009677420029113649,0.008572139309781325,0.019860869499016776,0.0
course,183335,183335,0.0,0.2496665881675072,0.6954945358812649,0.25915649463047785,0.009489906462970654,0.0035403137007043862,0.016157120366074935,0.03661843966712841,0.0
site,183335,183335,0.0,0.3029007030845174,0.6001013467010241,0.25915649463047785,-0.043744208454039535,-0.0531119773568795,-0.03427292131444734,-0.16879456760832046,0.391
cox,183335,183335,0.0,0.2744233421248921,0.7247943498408143,0.25915649463047785,-0.01526684749441426,-0.020155817531622995,-0.010097642324477643,-0.05890976228931755,0.051
