predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,183335,183335,0.0,0.23648306978474684,0.6017941186271973,0.23648306978474684,0.0,0.0,0.0,0.0,0.0
dept,183335,183335,0.0,0.23373739902615884,0.652055450188006,0.23648306978474684,0.0027456707585880036,-3.16513842991389e-05,0.005255876954415124,0.01161043266685935,0.0
course,183335,183335,0.0,0.23373739902615884,0.652055450188006,0.23648306978474684,0.0027456707585880036,-3.16513842991389e-05,0.005255876954415124,0.01161043266685935,0.0
site,183335,183335,0.0,0.2517466108489923,0.6035899600330238,0.23648306978474684,-0.015263541064245462,-0.01779309503534381,-0.01198358289346369,-0.06454390615843564,1.0
cox,183335,183335,0.0,0.20258324095062988,0.7534364925081807,0.23648306978474684,0.03389982883411696,0.02993834998261285,0.037473236817805886,0.1433499187276852,0.051
