phase,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
before,4375,0.0,0.34964696635738834,0.33613632480942346,0.33613632480942346,0.42589986285714276,0.25663600302838
between,9405,0.0,0.28228015222910363,0.282960424556633,0.282960424556633,0.3588591706539075,0.2076898590404016
instruction,34928,0.0,0.22714373734632992,0.22277201236842623,0.22277201236842623,0.19869693369216676,0.19653781818310653
phase1,105812,0.0,0.23359929612113847,0.22959016242445898,0.22959016242445898,0.2580841898839451,0.1980687115141186
phase2,28815,0.0,0.22626368593634374,0.23064486281461843,0.23064486281461843,0.23137573138990106,0.21661542342280518
