position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,125311,0.0,0.2474273821901654,0.24164855048335238,0.24164855048335238,0.25930792747643855,0.211283324333466
6-15,40047,0.0,0.23804791396693867,0.237428818221591,0.237428818221591,0.26268292756011685,0.20314810676501865
16-40,15614,0.0,0.1664150002150079,0.17983858135815006,0.17983858135815006,0.1847417638017164,0.14962218101286506
41+,2363,0.0,0.09256973565959038,0.10779223368398401,0.10779223368398401,0.10817101142615318,0.0815915608037226
