phase,n,observable,share_observable
adjustment,23844,0,0.0
after,5800,0,0.0
before,4377,4370,0.9984
between,37094,906,0.0244
instruction,66506,0,0.0
phase1,169975,66054,0.3886
phase2,185768,0,0.0
