position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,50645,0.0,0.2522338837342355,0.24179995191765902,0.2226564690431639,0.22816620594333104,0.279385919049623
6-15,14617,0.0,0.3485855520738907,0.33800940977179816,0.3300342537615063,0.3277557638366286,0.32016623441216124
16-40,5349,0.0,0.38565039488268615,0.38665008432203607,0.38660744390845336,0.3788741260048607,0.33742693619189074
41+,719,0.0,0.27081611994412175,0.27238583140295336,0.27974444052176645,0.4009663421418637,0.2977719845570796
