predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,71330,71330,0.0,0.2821704865954259,0.5072681320056858,0.2821704865954259,0.0,0.0,0.0,0.0,0.0
dept,71330,71330,0.0,0.2726858099161855,0.607804261163912,0.2821704865954259,0.009484676679240356,0.004617650058525025,0.014496422492881418,0.03361328391809959,0.0
course,71330,71330,0.0,0.2575304504713927,0.6710537641503852,0.2821704865954259,0.02464003612403315,0.016620540086019576,0.0323791449606879,0.08732322228781453,0.0
site,71330,71330,0.0,0.26161749614467966,0.6364884985093323,0.2821704865954259,0.02055299045074621,0.010574669584920995,0.03168819991798547,0.07283890919540059,0.4004
cox,71330,71330,0.0,0.2922804494218097,0.7924917083912022,0.2821704865954259,-0.010109962826383823,-0.01632788556583279,-0.003730156432079471,-0.0358292709785748,0.0711
