predictor,n_test,brier_rows,share_unknown,brier,auc,brier_baseline,gain,gain_ci_low,gain_ci_high,skill,share_fallback
bucket,63743,63743,0.0,0.29105723343191886,0.6126972292234962,0.29105723343191886,0.0,0.0,0.0,0.0,0.0
dept,63743,63743,0.0,0.30842890097186293,0.6302260675092693,0.29105723343191886,-0.01737166753994407,-0.02439243909843076,-0.010128089930520173,-0.05968471332978398,0.0
course,63743,63743,0.0,0.31393781012630495,0.6582318008253666,0.29105723343191886,-0.02288057669438609,-0.03400694666092229,-0.011097217219267985,-0.07861195004362642,0.0
site,63743,63743,0.0,0.27831736818160424,0.644494412141248,0.29105723343191886,0.01273986525031462,-9.39128229153688e-05,0.02519009725477645,0.0437709968589205,0.0989
cox,63743,63743,0.0,0.5806458615602426,0.5913165273229046,0.29105723343191886,-0.2895886281283237,-0.3006639849712479,-0.28031729579966463,-0.994954238771947,0.034
