position_bucket,n,share_unknown,brier_bucket,brier_dept,brier_course,brier_site,brier_cox
1-5,44124,0.0,0.27070891791009366,0.28957748865895616,0.29515491438153385,0.26072179086211583,0.6272478449241992
6-15,13729,0.0,0.35469458143720783,0.3698413074763035,0.3765126040322428,0.32291843542865467,0.5331063502080998
16-40,5145,0.0,0.30588274608207455,0.31884888901223724,0.32023696369703375,0.31907704567541306,0.3585321298584376
41+,745,0.0,0.22111718072769423,0.2212583634248998,0.2297472076917544,0.2170430872483221,0.23055081056443963
